,"(0.1,10)","(0.1,15)","(0.1,20)","(0.15,10)","(0.15,15)","(0.15,20)","(0.18,10)","(0.19,10)","(0.2,10)","(0.2,15)","(0.2,20)","(0.25,15)","(0.25,20)","(0.25,25)","(0.3,15)","(0.3,19)","(0.3,20)","(0.3,21)","(0.3,25)"
quantum,-0.7486521089922505,-0.6734733011266546,-0.661827730622628,-0.670953224968247,-0.692279140087065,-0.6796712743389172,-19.268830082802396,-,-19.850123164874205,-0.6869987459068452,-0.6788259853683231,-29.76476980926863,-0.688999323943043,-0.6978558240854867,-29.808749245696447,-,-25.901342608705665,-,-0.7499735687880732
classical,-0.6584220123521343,-0.6535619476577468,-0.6885536338936563,-1.2465622110781611,-0.6618947442650683,-0.6645375378584607,-19.903314313890753,-,-19.835398772491253,-4.179257365913993,-0.8121540610826693,-29.785851293137547,-0.6873248703490646,-0.6945085047950047,-29.807754296919764,-,-39.54295730206612,-,-0.694053929466038
hamiltonian,-0.6623974911898464,-,-0.6736581921280074,-0.6692142549424829,-,-,-0.8386580102063645,-16.491848049490795,-18.980426840135134,-0.7721816967953802,-,-,-,-,-29.797631625056372,-37.49234256264842,-39.71923510207775,-0.7918778484621661,-
