,"(0.1,10)","(0.1,15)","(0.1,20)","(0.15,10)","(0.15,15)","(0.15,20)","(0.18,10)","(0.19,10)","(0.2,10)","(0.2,15)","(0.2,20)","(0.25,15)","(0.25,20)","(0.25,25)","(0.3,15)","(0.3,19)","(0.3,20)","(0.3,21)","(0.3,25)"
quantum,1.4028073443320916,1.2415875754961174,1.1933163298672422,1.212242005492072,1.2827442827442828,1.2527056518059947,6.435294117647059,-,2.5271966527196654,1.2631631564916022,1.225709864082896,2.3811074918566777,1.2469515427844342,1.2867400670177118,2.265993265993266,-,1.3861459100957996,-,1.3880755686474275
classical,1.211379934320756,1.191747088186356,1.2643238610140437,1.689577818654942,1.2069891270302922,1.207835705786435,6.450800915331808,-,2.4865900383141764,2.4506880308593897,1.5130040960404942,2.4444444444444446,1.2425047841803105,1.281659040119187,2.25,-,2.4700374531835205,-,1.2561051554646145
hamiltonian,1.1954521205654842,-,1.242670244884267,1.207583318481554,-,-,1.5815881003478132,2.49079412311698,5.360202931228861,1.424706943192065,-,-,-,-,2.3544303797468356,2.6848,2.6564417177914113,1.4612355946824747,-
