,"(0.1,10)","(0.1,15)","(0.1,20)","(0.15,10)","(0.15,15)","(0.15,20)","(0.18,10)","(0.19,10)","(0.2,10)","(0.2,15)","(0.2,20)","(0.25,15)","(0.25,20)","(0.25,25)","(0.3,15)","(0.3,19)","(0.3,20)","(0.3,21)","(0.3,25)"
quantum,6.652032195835828e-05,0.0,0.0,0.0,0.0,0.0,0.9082005064799642,-,0.991995445106839,0.0,0.0,0.9918314131389192,0.0,0.0,0.9933718672588097,-,0.6406329309469688,-,0.0
classical,0.0,0.0,0.0,0.018235475487820993,0.0,0.0,0.9837256070311337,-,0.9912186259336518,0.1008504252126063,0.0,0.9925552353506244,0.0,0.0,0.9933394018782886,-,0.9882056718791412,-,0.0
hamiltonian,0.0,-,0.0,0.0,-,-,3.7000037000037e-05,0.8128827951002228,0.9411061682491202,0.0,-,-,-,-,0.99297543625653,0.98614774263614,0.992737479950098,0.0,-
